judet,oras
Olt,Corabia
Olt,Drăgănești-Olt
Olt,Piatra-Olt
Olt,Potcoava
Olt,Scornicești
Prahova,Ploiești
Prahova,Azuga
Prahova,Băicoi
Prahova,Boldești-Scăeni
Prahova,Breaza
Prahova,Bușteni
Prahova,Câmpina
Prahova,Comarnic
Prahova,Mizil
Prahova,Plopeni
Prahova,Sinaia
Prahova,Slănic
Prahova,Urlați
Prahova,Vălenii de Munte
Satu Mare,Satu Mare
Satu Mare,Ardud
Satu Mare,Carei
Satu Mare,Livada
Satu Mare,Negrești-Oaș
Satu Mare,Tășnad
Sălaj,Zalau
Sălaj,Cehu Silvaniei
Sălaj,Jibou
Sălaj,Șimleu Silvaniei
Sibiu,Sibiu
Sibiu,Agnita
Sibiu,Avrig
Sibiu,Cisnădie
Sibiu,Copșa Mică
Sibiu,Dumbrăveni
Sibiu,Mediaș
Sibiu,Miercurea Sibiului
Sibiu,Ocna Sibiului
Sibiu,Săliște
Sibiu,Tălmaciu
Suceava,Suceava
Suceava,Broșteni
Suceava,Cajvana
Suceava,Câmpulung Moldovenesc
Suceava,Dolhasca
Suceava,Fălticeni
Suceava,Frasin
Suceava,Gura Humorului
Suceava,Liteni
Suceava,Milișăuți
Suceava,Rădăuți
Suceava,Salcea
Suceava,Siret
Suceava,Solca
Suceava,Vatra Dornei
Suceava,Vicovu de Sus
Teleorman,Alexandria
Teleorman,Roșiorii de Vede
Teleorman,Turnu Măgurele
Teleorman,Videle
Teleorman,Zimnicea
Timiș,Timișoara
Timiș,Buziaș
Timiș,Ciacova
Timiș,Deta
Timiș,Făget
Timiș,Gătaia
Timiș,Jimbolia
Timiș,Lugoj
Timiș,Recaș
Timiș,Sânnicolau Mare
Tulcea,Tulcea
Tulcea,Babadag
Tulcea,Isaccea
Tulcea,Măcin
Tulcea,Sulina
Vaslui,Vaslui
Vaslui,Bârlad
Vaslui,Huși
Vaslui,Murgeni
Vaslui,Negrești
Vâlcea,Râmnicu Vâlcea
Vâlcea,Băile Govora
Vâlcea,Băile Olănești
Vâlcea,Bălcești
Vâlcea,Berbești
Vâlcea,Brezoi
Vâlcea,Călimănești
Vâlcea,Drăgășani
Vâlcea,Horezu
Vâlcea,Ocnele Mari
Vrancea,Focșani
Vrancea,Adjud
Vrancea,Mărășești
Vrancea,Odobești
Vrancea,Panciu
